date,USA
21-01-2020,1
22-01-2020,0
23-01-2020,0
24-01-2020,0
25-01-2020,1
26-01-2020,0
27-01-2020,3
28-01-2020,0
29-01-2020,0
30-01-2020,0
31-01-2020,1
01-02-2020,1
02-02-2020,1
03-02-2020,3
04-02-2020,0
05-02-2020,0
06-02-2020,1
07-02-2020,0
08-02-2020,0
09-02-2020,0
10-02-2020,0
11-02-2020,1
12-02-2020,0
13-02-2020,1
14-02-2020,1
15-02-2020,0
16-02-2020,0
17-02-2020,0
18-02-2020,0
19-02-2020,0
20-02-2020,0
21-02-2020,1
22-02-2020,19
23-02-2020,0
24-02-2020,0
25-02-2020,18
26-02-2020,0
27-02-2020,6
28-02-2020,1
29-02-2020,6
01-03-2020,3
02-03-2020,20
03-03-2020,14
04-03-2020,22
05-03-2020,34
06-03-2020,74
07-03-2020,105
08-03-2020,95
09-03-2020,121
10-03-2020,200
11-03-2020,271
12-03-2020,287
13-03-2020,351
14-03-2020,511
15-03-2020,777
16-03-2020,823
17-03-2020,887
18-03-2020,1766
19-03-2020,2988
20-03-2020,4835
21-03-2020,5374
22-03-2020,7123
23-03-2020,8459
24-03-2020,11236
25-03-2020,8789
26-03-2020,13963
27-03-2020,16797
28-03-2020,18695
29-03-2020,19979
30-03-2020,18360
31-03-2020,21595
01-04-2020,24998
02-04-2020,27103
03-04-2020,28819
04-04-2020,32425
05-04-2020,34272
06-04-2020,25398
07-04-2020,30561
08-04-2020,30613
09-04-2020,33323
10-04-2020,33901
11-04-2020,35527
12-04-2020,28391
13-04-2020,27620
14-04-2020,25023
15-04-2020,26922
16-04-2020,30148
17-04-2020,31667
18-04-2020,30833
19-04-2020,32922
20-04-2020,24601
21-04-2020,28065
22-04-2020,37289
23-04-2020,17588
24-04-2020,26543
25-04-2020,21352
26-04-2020,48529
27-04-2020,26857
28-04-2020,22541
29-04-2020,24132
30-04-2020,27326
01-05-2020,29917
02-05-2020,33955
03-05-2020,29288
04-05-2020,24972
05-05-2020,22593
06-05-2020,23841
07-05-2020,24128
08-05-2020,28369
09-05-2020,26957
10-05-2020,25612
11-05-2020,20258
12-05-2020,18117
13-05-2020,22048
14-05-2020,20782
15-05-2020,27143
16-05-2020,25508
17-05-2020,24487
18-05-2020,18873
19-05-2020,21841
20-05-2020,19970
21-05-2020,23285
22-05-2020,25434
23-05-2020,24147
24-05-2020,21236
25-05-2020,20568
26-05-2020,19064
27-05-2020,18910
28-05-2020,18721
29-05-2020,21817
30-05-2020,25337
31-05-2020,23297
01-06-2020,19807
02-06-2020,21086
03-06-2020,20544
04-06-2020,19699
05-06-2020,21140
06-06-2020,25178
07-06-2020,22223
08-06-2020,22302
09-06-2020,18822
10-06-2020,18665
11-06-2020,20614
12-06-2020,22883
13-06-2020,25639
14-06-2020,25540
15-06-2020,19543
16-06-2020,19957
17-06-2020,23705
18-06-2020,25559
19-06-2020,27762
20-06-2020,29909
21-06-2020,34158
22-06-2020,25793
23-06-2020,31390
24-06-2020,34720
25-06-2020,34339
26-06-2020,40949
27-06-2020,45527
28-06-2020,42486
29-06-2020,38673
30-06-2020,41556
01-07-2020,43880
02-07-2020,52048
03-07-2020,53399
04-07-2020,54442
05-07-2020,45221
06-07-2020,49093
07-07-2020,49990
08-07-2020,57473
09-07-2020,58906
10-07-2020,63004
11-07-2020,66625
12-07-2020,63051
13-07-2020,57258
14-07-2020,58114
15-07-2020,68518
16-07-2020,67717
17-07-2020,76930
18-07-2020,71494
19-07-2020,63749
20-07-2020,61796
21-07-2020,56750
22-07-2020,72048
23-07-2020,68848
24-07-2020,63196
25-07-2020,78427
26-07-2020,65498
27-07-2020,55993
28-07-2020,56243
29-07-2020,61734
30-07-2020,74985
31-07-2020,68032
01-08-2020,67023
02-08-2020,58407
03-08-2020,47511
04-08-2020,45607
05-08-2020,57525
06-08-2020,52804
07-08-2020,59755
08-08-2020,58150
09-08-2020,56221
10-08-2020,46847
11-08-2020,49530
12-08-2020,46813
13-08-2020,55941
14-08-2020,51094
15-08-2020,64838
16-08-2020,48085
17-08-2020,42104
18-08-2020,35056
19-08-2020,44091
20-08-2020,47426
21-08-2020,44005
22-08-2020,49880
23-08-2020,44378
24-08-2020,34506
25-08-2020,38298
26-08-2020,38119
27-08-2020,42848
28-08-2020,45909
29-08-2020,49654
30-08-2020,44143
31-08-2020,35581
01-09-2020,33850
02-09-2020,44639
03-09-2020,38754
04-09-2020,36249
05-09-2020,51071
06-09-2020,44140
07-09-2020,30555
08-09-2020,24250
09-09-2020,27122
10-09-2020,31927
11-09-2020,37507
12-09-2020,48061
13-09-2020,40820
14-09-2020,33871
15-09-2020,34841
16-09-2020,51473
17-09-2020,24598
18-09-2020,43567
19-09-2020,50209
20-09-2020,40295
21-09-2020,39852
22-09-2020,53153
23-09-2020,38307
24-09-2020,37930
25-09-2020,44213
26-09-2020,55013
27-09-2020,45368
28-09-2020,36248
29-09-2020,32998
30-09-2020,43017
01-10-2020,41982
02-10-2020,44771
03-10-2020,54471
04-10-2020,50659
05-10-2020,34901
06-10-2020,40705
07-10-2020,43062
08-10-2020,48182
09-10-2020,56800
10-10-2020,58082
11-10-2020,54271
12-10-2020,43597
13-10-2020,41653
14-10-2020,52517
15-10-2020,59386
16-10-2020,63785
17-10-2020,70256
18-10-2020,56611
19-10-2020,47843
20-10-2020,60160
21-10-2020,58549
22-10-2020,62978
23-10-2020,72058
24-10-2020,85329
25-10-2020,83056
26-10-2020,59440
27-10-2020,68359
28-10-2020,75129
29-10-2020,78371
30-10-2020,88130
31-10-2020,101273
01-11-2020,78934
02-11-2020,81001
03-11-2020,83883
04-11-2020,92734
05-11-2020,102507
06-11-2020,122436
07-11-2020,130623
08-11-2020,121413
09-11-2020,110693
10-11-2020,138901
